path,condition,direction,seed,deterministic,n,clean_eval_hash,checkpoint,exact_match_acc,normalized_exact_match_acc,word_boundary_contains_acc,first_answer_span_match_acc,legacy_contains_acc
papers\h1_activation_transfer\results\final_strict_controls\h1_shuffled_translation_strict_matched_fwd_seed123_alpha1p0.json,shuffled_translation_strict_matched,fwd,123,False,383,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,results\phase1\checkpoints\m6_translation_fwd_seed123.pt,0.0,0.0,0.0026109660574412533,0.0,0.005221932114882507
papers\h1_activation_transfer\results\final_strict_controls\h1_shuffled_translation_strict_matched_fwd_seed42_alpha1p0.json,shuffled_translation_strict_matched,fwd,42,False,383,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,results\phase1\checkpoints\m6_translation_fwd_seed42.pt,0.0,0.0,0.0026109660574412533,0.0,0.005221932114882507
papers\h1_activation_transfer\results\final_strict_controls\h1_shuffled_translation_strict_matched_fwd_seed456_alpha1p0.json,shuffled_translation_strict_matched,fwd,456,False,383,504e077cf17433e22967c86e98d321532d4e803dbe24d96af14c7e8ecdd0dcbb,results\phase1\checkpoints\m6_translation_fwd_seed456.pt,0.0,0.0,0.010443864229765013,0.0,0.015665796344647518
